,Price Date,District Name,Market Name,Commodity,Variety,Grade,Modal Price (Rs./Quintal)
2,04 Oct 2020,Jalpaiguri,Alipurduar,Cabbage,Other,FAQ,2800.0
3,03 Oct 2020,Jalpaiguri,Alipurduar,Cabbage,Other,FAQ,2600.0
4,06 Oct 2020,Burdwan,Durgapur,Cabbage,Other,FAQ,1900.0
5,05 Oct 2020,Burdwan,Durgapur,Cabbage,Other,FAQ,1860.0
6,04 Oct 2020,Burdwan,Durgapur,Cabbage,Other,FAQ,1850.0
7,03 Oct 2020,Burdwan,Durgapur,Cabbage,Other,FAQ,1860.0
8,05 Oct 2020,Nadia,Kalyani,Cabbage,Other,FAQ,1600.0
9,03 Oct 2020,Nadia,Kalyani,Cabbage,Other,FAQ,1600.0
10,05 Oct 2020,Nadia,Ranaghat,Cabbage,Other,FAQ,3200.0
11,04 Oct 2020,Nadia,Ranaghat,Cabbage,Other,FAQ,3200.0
12,03 Oct 2020,Nadia,Ranaghat,Cabbage,Other,FAQ,3200.0
13,06 Oct 2020,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,3600.0
14,05 Oct 2020,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,3600.0
15,04 Oct 2020,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,3600.0
16,03 Oct 2020,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,3600.0
17,04 Oct 2020,Jalpaiguri,Alipurduar,Onion,Other,FAQ,4000.0
18,03 Oct 2020,Jalpaiguri,Alipurduar,Onion,Other,FAQ,4000.0
19,06 Oct 2020,Burdwan,Asansol,Onion,Nasik,FAQ,3400.0
20,05 Oct 2020,Burdwan,Asansol,Onion,Nasik,FAQ,3400.0
21,04 Oct 2020,Burdwan,Asansol,Onion,Nasik,FAQ,3360.0
22,03 Oct 2020,Burdwan,Asansol,Onion,Nasik,FAQ,3400.0
23,05 Oct 2020,Puruliya,Balarampur,Onion,Other,FAQ,3400.0
24,04 Oct 2020,Puruliya,Balarampur,Onion,Other,FAQ,3300.0
25,03 Oct 2020,Puruliya,Balarampur,Onion,Other,FAQ,3500.0
26,06 Oct 2020,Bankura,Bankura Sadar,Onion,Nasik,FAQ,3900.0
27,05 Oct 2020,Bankura,Bankura Sadar,Onion,Nasik,FAQ,4000.0
28,05 Oct 2020,Kolkata,Bara Bazar (Posta Bazar),Onion,Other,FAQ,2850.0
29,03 Oct 2020,Kolkata,Bara Bazar (Posta Bazar),Onion,Other,FAQ,3800.0
30,06 Oct 2020,North 24 Parganas,Barasat,Onion,Other,FAQ,4200.0
31,05 Oct 2020,North 24 Parganas,Barasat,Onion,Other,FAQ,4200.0
32,04 Oct 2020,North 24 Parganas,Barasat,Onion,Other,FAQ,4400.0
33,03 Oct 2020,North 24 Parganas,Barasat,Onion,Other,FAQ,4300.0
34,06 Oct 2020,Jalpaiguri,Belacoba,Onion,Other,FAQ,3900.0
35,05 Oct 2020,Jalpaiguri,Belacoba,Onion,Other,FAQ,3900.0
36,04 Oct 2020,Jalpaiguri,Belacoba,Onion,Other,FAQ,3900.0
37,03 Oct 2020,Jalpaiguri,Belacoba,Onion,Other,FAQ,3800.0
38,05 Oct 2020,Birbhum,Birbhum,Onion,Other,FAQ,3800.0
39,04 Oct 2020,Birbhum,Birbhum,Onion,Other,FAQ,3800.0
40,03 Oct 2020,Birbhum,Birbhum,Onion,Nasik,FAQ,3900.0
41,06 Oct 2020,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,4000.0
42,05 Oct 2020,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,3900.0
43,04 Oct 2020,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,4000.0
44,03 Oct 2020,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,4000.0
45,05 Oct 2020,Birbhum,Bolpur,Onion,Onion,FAQ,4000.0
46,03 Oct 2020,Birbhum,Bolpur,Onion,Onion,FAQ,4200.0
47,05 Oct 2020,Burdwan,Burdwan,Onion,Nasik,FAQ,4000.0
48,03 Oct 2020,Burdwan,Burdwan,Onion,Nasik,FAQ,4000.0
